city_state	Row Labels	City	County	Latitude	Longitude
"EGEGIK, AK"	AK	EGEGIK	LAKE AND PENINSULA	58.082788	-156.443555
"EIELSON AFB, AK"	AK	EIELSON AFB	FAIRBANKS NORTH STAR	64.70238	-146.667136
"EKWOK, AK"	AK	EKWOK	DILLINGHAM	59.528899	-157.653496
"ELFIN COVE, AK"	AK	ELFIN COVE	HOONAH ANGOON	58.125642	-135.963104
"ELIM, AK"	AK	ELIM	NOME	64.687022	-162.091514
"EMMONAK, AK"	AK	EMMONAK	WADE HAMPTON	62.697866	-163.46605
"ESTER, AK"	AK	ESTER	FAIRBANKS NORTH STAR	64.84392	-148.030983
"FAIRBANKS, AK"	AK	FAIRBANKS	FAIRBANKS NORTH STAR	64.8507111	-147.6371412
"FALSE PASS, AK"	AK	FALSE PASS	ALEUTIANS EAST	54.711928	-163.743349
"FORT GREELY, AK"	AK	FORT GREELY	SOUTHEAST FAIRBANKS	64.007436	-145.352807
"FORT WAINWRIGHT, AK"	AK	FORT WAINWRIGHT	FAIRBANKS NORTH STAR	64.832026	-147.627188
"FORT YUKON, AK"	AK	FORT YUKON	YUKON KOYUKUK	66.442517	-145.755329
"GAKONA, AK"	AK	GAKONA	VALDEZ CORDOVA	62.417714	-143.413904
"GALENA, AK"	AK	GALENA	YUKON KOYUKUK	65.982716	-154.400274
"GAMBELL, AK"	AK	GAMBELL	NOME	63.751381	-171.694185
"GIRDWOOD, AK"	AK	GIRDWOOD	ANCHORAGE	60.973065	-149.11936
"GLENNALLEN, AK"	AK	GLENNALLEN	VALDEZ CORDOVA	62.045455	-145.040551
"GOODNEWS BAY, AK"	AK	GOODNEWS BAY	BETHEL	58.947547	-161.710552
"GRAYLING, AK"	AK	GRAYLING	YUKON KOYUKUK	64.072829	-159.694194
"GUSTAVUS, AK"	AK	GUSTAVUS	HOONAH ANGOON	58.836726	-136.968144
"HAINES, AK"	AK	HAINES	HAINES	58.971507	-135.40915
"HEALY, AK"	AK	HEALY	DENALI	64.002817	-148.631418
"HOLY CROSS, AK"	AK	HOLY CROSS	YUKON KOYUKUK	62.261964	-160.383132
"HOMER, AK"	AK	HOMER	KENAI PENINSULA	59.571809	-151.185592
"HOONAH, AK"	AK	HOONAH	HOONAH ANGOON	58.031175	-135.740702
"HOOPER BAY, AK"	AK	HOOPER BAY	WADE HAMPTON	61.501903	-165.44894
"HOPE, AK"	AK	HOPE	KENAI PENINSULA	60.885768	-149.459365
"HOUSTON, AK"	AK	HOUSTON	MATANUSKA SUSITNA	61.659783	-149.807672
"HUGHES, AK"	AK	HUGHES	YUKON KOYUKUK	65.96155	-153.955466
"HUSLIA, AK"	AK	HUSLIA	YUKON KOYUKUK	65.695383	-156.324495
"HYDABURG, AK"	AK	HYDABURG	PRINCE OF WALES HYDER	55.09599	-132.618224
"HYDER, AK"	AK	HYDER	PRINCE OF WALES HYDER	55.582801	-131.119272
"ILIAMNA, AK"	AK	ILIAMNA	LAKE AND PENINSULA	59.67983	-155.557717
"INDIAN, AK"	AK	INDIAN	ANCHORAGE	61.000835	-149.536529
"JBER, AK"	AK	JBER	ANCHORAGE	61.2751575	-149.715542
"JUNEAU, AK"	AK	JUNEAU	JUNEAU	58.34366817	-134.3341718
"KAKE, AK"	AK	KAKE	PETERSBURG	56.967612	-133.936153
"KAKTOVIK, AK"	AK	KAKTOVIK	NORTH SLOPE	70.120461	-143.677878
"KALSKAG, AK"	AK	KALSKAG	BETHEL	61.614712	-160.177953
"KALTAG, AK"	AK	KALTAG	YUKON KOYUKUK	64.338994	-158.712205
"KARLUK, AK"	AK	KARLUK	KODIAK ISLAND	57.601515	-154.37443
"KASIGLUK, AK"	AK	KASIGLUK	BETHEL	60.887358	-162.530154
"KASILOF, AK"	AK	KASILOF	KENAI PENINSULA	60.353592	-151.277367
"KENAI, AK"	AK	KENAI	KENAI PENINSULA	60.756211	-150.520266
"KETCHIKAN, AK"	AK	KETCHIKAN	KETCHIKAN GATEWAY	55.699773	-132.1864385
"KIANA, AK"	AK	KIANA	NORTHWEST ARCTIC	67.563649	-160.305093
"KING COVE, AK"	AK	KING COVE	ALEUTIANS EAST	55.38226	-161.945536
"KING SALMON, AK"	AK	KING SALMON	BRISTOL BAY	58.746236	-156.549078
"KIPNUK, AK"	AK	KIPNUK	BETHEL	59.933784	-164.070364
"KIVALINA, AK"	AK	KIVALINA	NORTHWEST ARCTIC	67.641648	-163.716673
"KLAWOCK, AK"	AK	KLAWOCK	PRINCE OF WALES HYDER	55.549794	-132.96755
"KOBUK, AK"	AK	KOBUK	NORTHWEST ARCTIC	67.058942	-155.96794
"KODIAK, AK"	AK	KODIAK	KODIAK ISLAND	57.653967	-153.06299
"KONGIGANAK, AK"	AK	KONGIGANAK	BETHEL	59.9599	-162.8919
"KOTLIK, AK"	AK	KOTLIK	WADE HAMPTON	62.956805	-163.90414
"KOTZEBUE, AK"	AK	KOTZEBUE	NORTHWEST ARCTIC	66.73784	-161.77906
"KOYUK, AK"	AK	KOYUK	NOME	65.017771	-161.035312
"KOYUKUK, AK"	AK	KOYUKUK	YUKON KOYUKUK	64.893256	-157.68507
"KWETHLUK, AK"	AK	KWETHLUK	BETHEL	60.77896	-161.396394
"KWIGILLINGOK, AK"	AK	KWIGILLINGOK	BETHEL	59.893258	-163.00375
"LAKE MINCHUMINA, AK"	AK	LAKE MINCHUMINA	YUKON KOYUKUK	63.811917	-152.373516
"LARSEN BAY, AK"	AK	LARSEN BAY	KODIAK ISLAND	57.487226	-153.993635
"LEVELOCK, AK"	AK	LEVELOCK	LAKE AND PENINSULA	59.281548	-155.320888
"LOWER KALSKAG, AK"	AK	LOWER KALSKAG	BETHEL	61.428069	-160.56124
"MANLEY HOT SPRINGS, AK"	AK	MANLEY HOT SPRINGS	YUKON KOYUKUK	65.160932	-150.987476
"MANOKOTAK, AK"	AK	MANOKOTAK	DILLINGHAM	58.883272	-158.932643
"MARSHALL, AK"	AK	MARSHALL	WADE HAMPTON	61.744488	-161.882386
"MC GRATH, AK"	AK	MC GRATH	YUKON KOYUKUK	63.200505	-154.890084
"MEKORYUK, AK"	AK	MEKORYUK	BETHEL	60.088095	-166.481491
"METLAKATLA, AK"	AK	METLAKATLA	PRINCE OF WALES HYDER	55.145032	-131.543885
"MEYERS CHUCK, AK"	AK	MEYERS CHUCK	KETCHIKAN GATEWAY	55.723233	-132.229524
"MINTO, AK"	AK	MINTO	YUKON KOYUKUK	65.029085	-149.671599
"MOOSE PASS, AK"	AK	MOOSE PASS	KENAI PENINSULA	60.618219	-149.279283
"MOUNTAIN VILLAGE, AK"	AK	MOUNTAIN VILLAGE	WADE HAMPTON	62.205144	-164.478331
"NAKNEK, AK"	AK	NAKNEK	BRISTOL BAY	58.835515	-156.711103
"NAPAKIAK, AK"	AK	NAPAKIAK	BETHEL	60.687056	-161.752377
"NENANA, AK"	AK	NENANA	YUKON KOYUKUK	64.603439	-148.603537
"NEW STUYAHOK, AK"	AK	NEW STUYAHOK	DILLINGHAM	59.529522	-157.646641
"NIGHTMUTE, AK"	AK	NIGHTMUTE	BETHEL	60.497861	-164.812707
"NIKISKI, AK"	AK	NIKISKI	KENAI PENINSULA	60.865757	-150.862702
"NIKOLAI, AK"	AK	NIKOLAI	YUKON KOYUKUK	63.076695	-154.432958
"NIKOLSKI, AK"	AK	NIKOLSKI	ALEUTIANS WEST	53.006753	-169.548592
"NINILCHIK, AK"	AK	NINILCHIK	KENAI PENINSULA	60.031154	-151.426449
"NOATAK, AK"	AK	NOATAK	NORTHWEST ARCTIC	67.328764	-162.768589
"NOME, AK"	AK	NOME	NOME	65.144104	-165.06972
"NONDALTON, AK"	AK	NONDALTON	LAKE AND PENINSULA	60.031238	-154.555429
"NOORVIK, AK"	AK	NOORVIK	NORTHWEST ARCTIC	66.866576	-159.851148
"NORTH POLE, AK"	AK	NORTH POLE	FAIRBANKS NORTH STAR	64.729584	-147.387896
"NORTHWAY, AK"	AK	NORTHWAY	SOUTHEAST FAIRBANKS	63.000768	-141.69352
"NUIQSUT, AK"	AK	NUIQSUT	NORTH SLOPE	69.836916	-152.148914
"NULATO, AK"	AK	NULATO	YUKON KOYUKUK	64.811372	-158.052676
"NUNAM IQUA, AK"	AK	NUNAM IQUA	WADE HAMPTON	62.195365	-165.169144
"NUNAPITCHUK, AK"	AK	NUNAPITCHUK	BETHEL	60.88643	-162.331704
"OLD HARBOR, AK"	AK	OLD HARBOR	KODIAK ISLAND	57.220492	-153.32133
"OUZINKIE, AK"	AK	OUZINKIE	KODIAK ISLAND	57.929975	-152.425193
"PALMER, AK"	AK	PALMER	MATANUSKA SUSITNA	61.772	-148.182587
"PEDRO BAY, AK"	AK	PEDRO BAY	LAKE AND PENINSULA	59.839534	-154.037942
"PELICAN, AK"	AK	PELICAN	HOONAH ANGOON	57.957835	-136.114626
"PERRYVILLE, AK"	AK	PERRYVILLE	LAKE AND PENINSULA	55.938078	-159.190058
"PETERSBURG, AK"	AK	PETERSBURG	PETERSBURG	56.711501	-133.132822
"PILOT POINT, AK"	AK	PILOT POINT	LAKE AND PENINSULA	57.806578	-157.139176
"PILOT STATION, AK"	AK	PILOT STATION	WADE HAMPTON	61.689502	-163.177482
"PLATINUM, AK"	AK	PLATINUM	BETHEL	58.925712	-161.401163
"POINT BAKER, AK"	AK	POINT BAKER	PRINCE OF WALES HYDER	56.151318	-133.348994
"POINT HOPE, AK"	AK	POINT HOPE	NORTH SLOPE	68.257708	-166.211726
"POINT LAY, AK"	AK	POINT LAY	NORTH SLOPE	69.872384	-162.459817
"PORT ALEXANDER, AK"	AK	PORT ALEXANDER	SITKA	56.2477	-133.6438
"PORT ALSWORTH, AK"	AK	PORT ALSWORTH	LAKE AND PENINSULA	60.330013	-154.190532
"PORT HEIDEN, AK"	AK	PORT HEIDEN	LAKE AND PENINSULA	57.102228	-158.268032
"PORT LIONS, AK"	AK	PORT LIONS	KODIAK ISLAND	57.901192	-153.012361
"PRUDHOE BAY, AK"	AK	PRUDHOE BAY	NORTH SLOPE	70.057818	-149.38322
"QUINHAGAK, AK"	AK	QUINHAGAK	BETHEL	59.660381	-161.099902
"RAMPART, AK"	AK	RAMPART	YUKON KOYUKUK	65.435538	-149.826568
"RED DEVIL, AK"	AK	RED DEVIL	BETHEL	61.713281	-157.693584
"RUBY, AK"	AK	RUBY	YUKON KOYUKUK	64.361229	-155.99124
"RUSSIAN MISSION, AK"	AK	RUSSIAN MISSION	WADE HAMPTON	61.809188	-161.469302
"SAINT GEORGE ISLAND, AK"	AK	SAINT GEORGE ISLAND	ALEUTIANS WEST	56.576877	-169.630379
"SAINT MARYS, AK"	AK	SAINT MARYS	WADE HAMPTON	62.27055	-163.300246
"SAINT MICHAEL, AK"	AK	SAINT MICHAEL	NOME	63.287729	-161.806562
"SAINT PAUL ISLAND, AK"	AK	SAINT PAUL ISLAND	ALEUTIANS WEST	57.180953	-170.267225
"SALCHA, AK"	AK	SALCHA	FAIRBANKS NORTH STAR	64.691305	-145.542698
"SAND POINT, AK"	AK	SAND POINT	ALEUTIANS EAST	55.264164	-160.585536
"SAVOONGA, AK"	AK	SAVOONGA	NOME	63.333045	-170.271064
"SCAMMON BAY, AK"	AK	SCAMMON BAY	WADE HAMPTON	61.802441	-165.071643
"SELAWIK, AK"	AK	SELAWIK	NORTHWEST ARCTIC	66.298044	-159.940988
"SELDOVIA, AK"	AK	SELDOVIA	KENAI PENINSULA	59.319224	-151.69941
"SEWARD, AK"	AK	SEWARD	KENAI PENINSULA	60.316025	-149.215646
"SHAGELUK, AK"	AK	SHAGELUK	YUKON KOYUKUK	62.601333	-159.75036
"SHAKTOOLIK, AK"	AK	SHAKTOOLIK	NOME	64.695585	-160.456996
"SHISHMAREF, AK"	AK	SHISHMAREF	NOME	66.078272	-165.75569
"SHUNGNAK, AK"	AK	SHUNGNAK	NORTHWEST ARCTIC	66.733264	-156.979206
"SITKA, AK"	AK	SITKA	SITKA	57.087445	-135.490539
"SKAGWAY, AK"	AK	SKAGWAY	SKAGWAY	59.571902	-135.353436
"SKWENTNA, AK"	AK	SKWENTNA	MATANUSKA SUSITNA	61.93926	-151.735321
"SLEETMUTE, AK"	AK	SLEETMUTE	BETHEL	61.586056	-157.000901
"SOLDOTNA, AK"	AK	SOLDOTNA	KENAI PENINSULA	60.396127	-150.962582
"SOUTH NAKNEK, AK"	AK	SOUTH NAKNEK	BRISTOL BAY	58.732084	-156.914533
"STEBBINS, AK"	AK	STEBBINS	NOME	63.518569	-162.439662
"STERLING, AK"	AK	STERLING	KENAI PENINSULA	60.518804	-150.790776
"STEVENS VILLAGE, AK"	AK	STEVENS VILLAGE	YUKON KOYUKUK	66.026224	-149.264776
"SUTTON, AK"	AK	SUTTON	MATANUSKA SUSITNA	61.86396	-148.442525
"TAKOTNA, AK"	AK	TAKOTNA	YUKON KOYUKUK	62.970178	-156.083305
"TALKEETNA, AK"	AK	TALKEETNA	MATANUSKA SUSITNA	62.427257	-148.767307
"TANACROSS, AK"	AK	TANACROSS	SOUTHEAST FAIRBANKS	63.378719	-143.39367
"TANANA, AK"	AK	TANANA	YUKON KOYUKUK	65.33369	-151.799544
"TATITLEK, AK"	AK	TATITLEK	VALDEZ CORDOVA	60.5426	-145.7578
"TELLER, AK"	AK	TELLER	NOME	65.061886	-166.428628
"TENAKEE SPRINGS, AK"	AK	TENAKEE SPRINGS	HOONAH ANGOON	57.836669	-135.133152
"THORNE BAY, AK"	AK	THORNE BAY	PRINCE OF WALES HYDER	55.651482	-132.542306
"TOGIAK, AK"	AK	TOGIAK	DILLINGHAM	59.173478	-160.715548
"TOK, AK"	AK	TOK	SOUTHEAST FAIRBANKS	63.867306	-143.020004
"TOKSOOK BAY, AK"	AK	TOKSOOK BAY	BETHEL	60.7923	-161.7555
"TRAPPER CREEK, AK"	AK	TRAPPER CREEK	MATANUSKA SUSITNA	61.434299	-150.299797
"TULUKSAK, AK"	AK	TULUKSAK	BETHEL	61.108836	-160.95451
"TUNTUTULIAK, AK"	AK	TUNTUTULIAK	BETHEL	60.7925	-161.7559
"TUNUNAK, AK"	AK	TUNUNAK	BETHEL	60.6138	-164.719006
"TWO RIVERS, AK"	AK	TWO RIVERS	FAIRBANKS NORTH STAR	64.7981	-147.5356
"TYONEK, AK"	AK	TYONEK	KENAI PENINSULA	61.167613	-151.958153
"UNALAKLEET, AK"	AK	UNALAKLEET	NOME	63.572968	-160.58448
"UNALASKA, AK"	AK	UNALASKA	ALEUTIANS WEST	53.859159	-166.679991
"VALDEZ, AK"	AK	VALDEZ	VALDEZ CORDOVA	60.605332	-146.856312
"VENETIE, AK"	AK	VENETIE	YUKON KOYUKUK	67.008205	-146.378047
"WAINWRIGHT, AK"	AK	WAINWRIGHT	NORTH SLOPE	70.697074	-159.325209
"WALES, AK"	AK	WALES	NOME	65.672559	-167.587124
"WARD COVE, AK"	AK	WARD COVE	KETCHIKAN GATEWAY	55.4104	-131.7237
"WASILLA, AK"	AK	WASILLA	MATANUSKA SUSITNA	46.10983775	-112.3221263
"WHITE MOUNTAIN, AK"	AK	WHITE MOUNTAIN	NOME	64.882299	-162.472054
"WHITTIER, AK"	AK	WHITTIER	VALDEZ CORDOVA	60.438812	-148.301185
"WILLOW, AK"	AK	WILLOW	MATANUSKA SUSITNA	61.611858	-150.314412
"WRANGELL, AK"	AK	WRANGELL	WRANGELL	56.179952	-132.030401
"YAKUTAT, AK"	AK	YAKUTAT	YAKUTAT	59.74337	-139.502946
"ABBEVILLE, AL"	AL	ABBEVILLE	HENRY	31.593513	-85.228148
"ABERNANT, AL"	AL	ABERNANT	TUSCALOOSA	33.2906	-87.1981
"ADAMSVILLE, AL"	AL	ADAMSVILLE	JEFFERSON	33.592857	-86.994015
"ADDISON, AL"	AL	ADDISON	WINSTON	34.202745	-87.204788
"ADGER, AL"	AL	ADGER	JEFFERSON	33.44619	-87.222997
"AKRON, AL"	AL	AKRON	HALE	32.855328	-87.715739
"ALABASTER, AL"	AL	ALABASTER	SHELBY	33.218709	-86.783546
"ALBERTA, AL"	AL	ALBERTA	WILCOX	32.146356	-87.347604
"ALBERTVILLE, AL"	AL	ALBERTVILLE	MARSHALL	34.294552	-86.20802
"ALEXANDER CITY, AL"	AL	ALEXANDER CITY	TALLAPOOSA	32.920262	-85.9321975
"ALEXANDRIA, AL"	AL	ALEXANDRIA	CALHOUN	33.76942	-85.903943
"ALICEVILLE, AL"	AL	ALICEVILLE	PICKENS	33.011965	-88.183705
"ALLGOOD, AL"	AL	ALLGOOD	BLOUNT	33.9119	-86.5094
"ALPINE, AL"	AL	ALPINE	TALLADEGA	33.345229	-86.265748
"ALTON, AL"	AL	ALTON	JEFFERSON	33.5795	-86.6376
"ALTOONA, AL"	AL	ALTOONA	ETOWAH	34.045616	-86.285992
"ANDALUSIA, AL"	AL	ANDALUSIA	COVINGTON	31.279453	-86.505359
"ANDERSON, AL"	AL	ANDERSON	LAUDERDALE	34.939154	-87.246764
"ANNEMANIE, AL"	AL	ANNEMANIE	WILCOX	32.0555	-87.5662
"ANNISTON, AL"	AL	ANNISTON	CALHOUN	33.69155333	-85.81894483
"ARAB, AL"	AL	ARAB	MARSHALL	34.321754	-86.496857
"ARDMORE, AL"	AL	ARDMORE	LIMESTONE	34.956162	-86.811034
"ARITON, AL"	AL	ARITON	DALE	31.612372	-85.696016
"ARLEY, AL"	AL	ARLEY	WINSTON	34.078804	-87.184711
"ARLINGTON, AL"	AL	ARLINGTON	WILCOX	32.076245	-87.562152
"ASHFORD, AL"	AL	ASHFORD	HOUSTON	31.1841	-85.252892
"ASHLAND, AL"	AL	ASHLAND	CLAY	33.230215	-85.867824
"ASHVILLE, AL"	AL	ASHVILLE	SAINT CLAIR	33.817665	-86.213044
"ATHENS, AL"	AL	ATHENS	LIMESTONE	34.81903175	-87.0036795
"ATMORE, AL"	AL	ATMORE	ESCAMBIA	31.07402267	-87.494188
"ATTALLA, AL"	AL	ATTALLA	ETOWAH	34.08229	-86.058557
"AUBURN, AL"	AL	AUBURN	LEE	32.579487	-85.51205967
"AUBURN UNIVERSITY, AL"	AL	AUBURN UNIVERSITY	LEE	32.599435	-85.488958
"AUTAUGAVILLE, AL"	AL	AUTAUGAVILLE	AUTAUGA	32.456314	-86.714785
"AXIS, AL"	AL	AXIS	MOBILE	30.954331	-88.018212
"BAILEYTON, AL"	AL	BAILEYTON	CULLMAN	34.304454	-86.635313
"BANKS, AL"	AL	BANKS	PIKE	31.810721	-85.761834
"BANKSTON, AL"	AL	BANKSTON	FAYETTE	33.709984	-87.682884
"BAY MINETTE, AL"	AL	BAY MINETTE	BALDWIN	30.886059	-87.758137
"BAYOU LA BATRE, AL"	AL	BAYOU LA BATRE	MOBILE	30.404099	-88.260304
"BEAR CREEK, AL"	AL	BEAR CREEK	MARION	34.213268	-87.74189
"BEATRICE, AL"	AL	BEATRICE	MONROE	31.740868	-87.108083
"BEAVERTON, AL"	AL	BEAVERTON	LAMAR	33.951082	-88.037888
"BELK, AL"	AL	BELK	FAYETTE	33.642616	-87.924528
"BELLAMY, AL"	AL	BELLAMY	SUMTER	32.426668	-88.135101
"BELLE MINA, AL"	AL	BELLE MINA	LIMESTONE	34.6567	-86.8795
"BELLWOOD, AL"	AL	BELLWOOD	GENEVA	31.176208	-85.800795
"BERRY, AL"	AL	BERRY	FAYETTE	33.621728	-87.56701
"BESSEMER, AL"	AL	BESSEMER	JEFFERSON	33.39988975	-86.98774075
"BILLINGSLEY, AL"	AL	BILLINGSLEY	AUTAUGA	32.621763	-86.713741
"BIRMINGHAM, AL"	AL	BIRMINGHAM	JEFFERSON	32.95626242	-85.35640317
"BLACK, AL"	AL	BLACK	GENEVA	31.020682	-85.780766
"BLOUNTSVILLE, AL"	AL	BLOUNTSVILLE	BLOUNT	34.117896	-86.562142
"BOAZ, AL"	AL	BOAZ	MARSHALL	34.187622	-86.19741
"BOLIGEE, AL"	AL	BOLIGEE	GREENE	32.771772	-88.029342
"BON AIR, AL"	AL	BON AIR	TALLADEGA	33.2638	-86.3359
"BON SECOUR, AL"	AL	BON SECOUR	BALDWIN	30.312316	-87.742554
"BOOTH, AL"	AL	BOOTH	AUTAUGA	32.5003	-86.5717
"BOYKIN, AL"	AL	BOYKIN	WILCOX	32.093615	-87.282594
"BRANTLEY, AL"	AL	BRANTLEY	CRENSHAW	31.557284	-86.317495
"BREMEN, AL"	AL	BREMEN	CULLMAN	33.945896	-87.013089
"BRENT, AL"	AL	BRENT	BIBB	32.923422	-87.276234
"BREWTON, AL"	AL	BREWTON	ESCAMBIA	31.124739	-87.0698345
"BRIDGEPORT, AL"	AL	BRIDGEPORT	JACKSON	34.937566	-85.777605
"BRIERFIELD, AL"	AL	BRIERFIELD	BIBB	33.069403	-86.979053
"BRILLIANT, AL"	AL	BRILLIANT	MARION	34.050368	-87.752432
"BROOKLYN, AL"	AL	BROOKLYN	CONECUH	31.2666	-86.7715
"BROOKSIDE, AL"	AL	BROOKSIDE	JEFFERSON	33.639205	-86.910431
"BROOKWOOD, AL"	AL	BROOKWOOD	TUSCALOOSA	33.331599	-87.259008
"BROWNSBORO, AL"	AL	BROWNSBORO	MADISON	34.722068	-86.468098
"BRUNDIDGE, AL"	AL	BRUNDIDGE	PIKE	31.666594	-85.800622
"BRYANT, AL"	AL	BRYANT	JACKSON	34.909606	-85.650924
"BUCKS, AL"	AL	BUCKS	MOBILE	31.0113	-88.0226
"BUHL, AL"	AL	BUHL	TUSCALOOSA	33.238311	-87.745537
"BURNWELL, AL"	AL	BURNWELL	WALKER	33.7076	-87.0877
"BUTLER, AL"	AL	BUTLER	CHOCTAW	32.090524	-88.232843
"BYNUM, AL"	AL	BYNUM	CALHOUN	33.6133	-85.9611
"CALERA, AL"	AL	CALERA	SHELBY	33.11094	-86.717582
"CALVERT, AL"	AL	CALVERT	WASHINGTON	31.171377	-87.993215
"CAMDEN, AL"	AL	CAMDEN	WILCOX	31.989288	-87.285678
"CAMP HILL, AL"	AL	CAMP HILL	TALLAPOOSA	32.804249	-85.66997
"CAMPBELL, AL"	AL	CAMPBELL	CLARKE	31.956012	-88.051802
"CAPSHAW, AL"	AL	CAPSHAW	LIMESTONE	34.819176	-86.80068
"CARBON HILL, AL"	AL	CARBON HILL	WALKER	33.832254	-87.531158
"CARLTON, AL"	AL	CARLTON	CLARKE	31.326031	-87.837604
"CARROLLTON, AL"	AL	CARROLLTON	PICKENS	33.259046	-88.13287
"CASTLEBERRY, AL"	AL	CASTLEBERRY	CONECUH	31.329014	-87.016231
